iter	MultiLogloss
0	0.6609666448
1	0.6305996388
2	0.602136508
3	0.575488259
4	0.5514604184
5	0.5290299107
6	0.5072407436
7	0.4879500807
8	0.4697803488
9	0.4530507262
10	0.4373649883
11	0.4229118618
12	0.4103472473
13	0.3977690349
14	0.3863335534
15	0.3750647024
16	0.3655423435
17	0.356165957
18	0.3472905544
19	0.3385761463
20	0.3309215488
21	0.3236165629
22	0.3168954057
23	0.3104207
24	0.3044616551
25	0.2987957833
26	0.2934583427
27	0.2882849423
28	0.2833218696
29	0.2786929101
30	0.2740969504
31	0.2699471799
32	0.2661175489
33	0.2621475823
34	0.2587867181
35	0.2554405295
36	0.2522234353
37	0.2492038927
38	0.2463400002
39	0.2433142726
40	0.2406436695
41	0.2380623636
42	0.235677263
43	0.2331273311
44	0.2307533796
45	0.2286349777
46	0.2261253788
47	0.2239423316
48	0.2216804692
49	0.2194632177
50	0.2177107341
51	0.2152921537
52	0.2133525865
53	0.2114294863
54	0.2099953859
55	0.2082988563
56	0.2063240471
57	0.2049612212
58	0.2035714196
59	0.2017994578
60	0.2001157902
61	0.1986791402
62	0.197474135
63	0.1958868272
64	0.1942625674
65	0.1930309943
66	0.1915787893
67	0.1903576929
68	0.1890321341
69	0.1878734823
70	0.1866012918
71	0.1855689069
72	0.1843868615
73	0.1834568461
74	0.1821617035
75	0.1811838259
76	0.1800966248
77	0.1789123397
78	0.1780002029
79	0.1771054918
80	0.1760210892
81	0.174954752
82	0.1740147334
83	0.173134766
84	0.1722443402
85	0.1713030402
86	0.1703848312
87	0.1696699203
88	0.1687711111
89	0.1676228305
90	0.1667504282
91	0.1660422291
92	0.1649742506
93	0.1643299618
94	0.1633693561
95	0.1624766459
96	0.1613753162
97	0.1605277444
98	0.1596595019
99	0.1588522239
100	0.1576703819
101	0.1568398888
102	0.1561688378
103	0.1553691306
104	0.1546451717
105	0.1539102853
106	0.1531250556
107	0.1525306094
108	0.15186297
109	0.1510644928
110	0.1505323943
111	0.1498612063
112	0.1492832532
113	0.1485165694
114	0.1477513252
115	0.1471803857
116	0.1465409432
117	0.1458864224
118	0.145399489
119	0.144799536
120	0.1438903298
121	0.1432541928
122	0.1426241655
123	0.1421127368
124	0.1415671365
125	0.1408368399
126	0.1400932566
127	0.1395616403
128	0.1388579541
129	0.1384801843
130	0.1378330363
131	0.1374836493
132	0.1369581254
133	0.1361614983
134	0.1356501356
135	0.1348850311
136	0.1344143715
137	0.1337447773
138	0.1327961235
139	0.1323476926
140	0.1318735563
141	0.1309705322
142	0.1304982947
143	0.1299028957
144	0.129326421
145	0.1288867722
146	0.1282890698
147	0.1276548056
148	0.1272740328
149	0.1267745246
150	0.1261157481
151	0.1257206144
152	0.125285197
153	0.1247817717
154	0.1239880485
155	0.1236126725
156	0.1231787383
157	0.1225566694
158	0.1221797742
159	0.1217430676
160	0.1214526134
161	0.1207392131
162	0.1204346141
163	0.1199063631
164	0.1194646667
165	0.1188681309
166	0.1186332059
167	0.1179811409
168	0.1176028818
169	0.1172814882
170	0.1167997471
171	0.1164030486
172	0.1158669901
173	0.1151900086
174	0.1148867843
175	0.1146224032
176	0.1140159491
177	0.1136036117
178	0.1132632434
179	0.112661512
180	0.1121884924
181	0.111836497
182	0.1112960339
183	0.1109090862
184	0.1104294448
185	0.1099867992
186	0.1097933818
187	0.1093816152
188	0.1089569931
189	0.1084839516
190	0.1081519511
191	0.1076553421
192	0.1072605515
193	0.1068025162
194	0.1065394572
195	0.1063025963
196	0.1058187179
197	0.1055253093
198	0.10519621
199	0.1049310677
200	0.1046339821
201	0.1040346399
202	0.1037986789
203	0.103612765
204	0.1032537607
205	0.1030124284
206	0.1024577793
207	0.1020973929
208	0.1018004353
209	0.1014510402
210	0.1010802572
211	0.1006393948
212	0.1004245136
213	0.100136795
214	0.09965327074
215	0.09930877426
216	0.09889614216
217	0.09849830775
218	0.09826521308
219	0.09781779662
220	0.097495819
221	0.09715835073
222	0.09681676646
223	0.09651261359
224	0.09623286892
225	0.09582844109
226	0.09550432037
227	0.09531151541
228	0.0950634381
229	0.09460421203
230	0.09442731516
231	0.09431961591
232	0.09408439968
233	0.09372147267
234	0.09346797368
235	0.09306148028
236	0.09281716434
237	0.09249277086
238	0.09204059808
239	0.09150603495
240	0.09118378989
241	0.09094979953
242	0.09050163563
243	0.09023707863
244	0.09006202694
245	0.0896833615
246	0.08956014169
247	0.08924314501
248	0.08896228792
249	0.08861949092
250	0.08836922974
251	0.08799615295
252	0.08768133364
253	0.08747549704
254	0.08721700152
255	0.08692943439
256	0.08669022329
257	0.0863373735
258	0.0860319858
259	0.08585890282
260	0.08553653026
261	0.08529399701
262	0.08499796065
263	0.08469636808
264	0.0843403842
265	0.08409574206
266	0.08372989612
267	0.08338281129
268	0.08330182034
269	0.08302571787
270	0.08273253228
271	0.0822780112
272	0.08195183818
273	0.0817034736
274	0.08136867735
275	0.0812156432
276	0.0810959117
277	0.08069058271
278	0.08053006481
279	0.08021166253
280	0.08008375983
281	0.07994842921
282	0.07972118194
283	0.07965873795
284	0.0795333069
285	0.07930626849
286	0.07907320985
287	0.07865853732
288	0.07833172305
289	0.07798870872
290	0.07772524694
291	0.07747502848
292	0.07714007821
293	0.07682366563
294	0.07676747471
295	0.07657061247
296	0.07649780214
297	0.07632571739
298	0.07626436525
299	0.07596247432
